Client Information,Product Information,Total Transaction Amount
CL  123400020001,SGX FUNK    20100910,-52.0
CL  123400030001,CME FUNK.   20100910,-215.0
CL  432100030001,CME FUN1    20100910,-79.0
CL  123400030001,CME FUN1    20100910,285.0
CL  432100020001,SGX FUNK    20100910,46.0
CL  123400020001,SGX FUNK    20100910,-104.0
CL  123400030001,CME FUNK.   20100910,-430.0
CL  432100030001,CME FUN1    20100910,-158.0
CL  123400030001,CME FUN1    20100910,570.0
CL  432100020001,SGX FUNK    20100910,92.0
